form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
སྐྱེས་རབས་	སྐྱེས་རབས་	NOUN
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ཆུ་ཟླ་	ཆུ་ཟླ་	NOUN
འི་	གི་	PART
རྫུན་	རྫུན་	NOUN
རི་	རི་	NOUN
མོ་	མོ་	VERB
ལྡན་	ལྡན་	VERB
དགའ་བྱེད་	དགའ་བྱེད་	OTHER
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
ན་མོ་	ན་མོ་	X
མཉྫ་		NON_WORD
ཤཱི་		NON_WORD
ཡེ་	ཡེ་	ADV
།		PUNCT
མཁའ་ཁྱབ་	མཁའ་ཁྱབ་	NOUN
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྐུ་	སྐུ་	NOUN
།		PUNCT
		
།		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
ཡབ་	ཡབ་	NOUN
གཅིག་	གཅིག་	NUM
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
མཁྱེན་པ་	མཁྱེན་པ་	VERB
འི་	གི་	PART
གཏེར་	གཏེར་	NOUN
།		PUNCT
		
།		PUNCT
རྨོངས་པ་	རྨོངས་པ་	VERB
འི་	གི་	PART
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
མཐའ་དག་	མཐའ་དག་	DET
འདུལ་	འདུལ་	NO_POS
མཛད་པ་	མཛད་པ་	VERB
།		PUNCT
		
།		PUNCT
བཅོམ་ལྡན་	བཅོམ་ལྡན་	NOUN
འཇམ་པ་	འཇམ་པ་	VERB
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
ཤཱཀྱའི་		NON_WORD
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
གསུང་	གསུང་	VERB
གི་	གི་	PART
སྲ་	སྲ་	NOUN
ཀྱི་	གི་	PART
མཆོག་	མཆོག་	ADJ
		
།		PUNCT
མི་	མི་	PART
ཡི་	གི་	PART
མཆོག་གྱུར་	མཆོག་གྱུར་	ADJ
ལི་	ལི་	OTHER
ཙཱ་	ཙཱ་	NO_POS
བི་	བི་	NO_POS
ཞེ་	ཅེས་	PART
གྲག་	གྲག་	VERB
།		PUNCT
		
།		PUNCT
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
མཐོང་	མཐོང་	VERB
ན་	ལ་	PART
དགའ་བ་	དགའ་བ་	VERB
འི་	གི་	PART
མཚན་	མཚན་	NOUN
གྱིས་	གིས་	PART
སྙན་	སྙན་	NOUN
།		PUNCT
		
།		PUNCT
དྲི་མེད་	དྲི་མེད་	ADJ
གྲགས་པ་	གྲགས་པ་	VERB
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
དགའ་རབ་	དགའ་རབ་	ADJ
དཔའ་བོ་	དཔའ་བོ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྲ་	སྲ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
།		PUNCT
		
།		PUNCT
མཁྱེན་རབ་	མཁྱེན་རབ་	NOUN
མཐའ་	མཐའ་	NOUN
ཡ་		
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
གཏེར་	གཏེར་	NOUN
།		PUNCT
		
།		PUNCT
སྡེ་	སྡེ་	NOUN
གསུམ་	གསུམ་	NUM
ཀློང་	ཀློང་	NOUN
དགུ་	དགུ་	NUM
འི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
ཆེ་	ཆེ་	VERB
།		PUNCT
		
།		PUNCT
མཉྫུ་		NON_WORD
མི་	མི་	PART
ཏྲའི་		NON_WORD
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
སྣང་	སྣང་	VERB
བཞི་	བཞི་	NUM
འི་	གི་	PART
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
སོན་	སོན་	VERB
རིག་པ་	རིག་པ་	VERB
འོད་	འོད་	NOUN
སྐུ་	སྐུ་	NOUN
སྨིན་	སྨིན་	VERB
།		PUNCT
		
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
བརྙེས་	བརྙེས་	NO_POS
རི་བོ་	རི་བོ་	NOUN
རྩེ་	རྩེ་	NOUN
ལྔ་	ལྔ་	NUM
ར་	ལ་	PART
བཞུགས་	བཞུགས་	VERB
།		PUNCT
		
།		PUNCT
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
ས་	གིས་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
།		PUNCT
		
།		PUNCT
བི་	བི་	NO_POS
མ་	མ་	PART
མི་	མི་	PART
ཏྲའི་		NON_WORD
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
བདེ་བ་	བདེ་བ་	VERB
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
གྲུབ་པ་	གྲུབ་པ་	VERB
བརྙེས་པ་	བརྙེས་པ་	VERB
འི་	གི་	PART
ཕུལ་	ཕུལ་	VERB
།		PUNCT
		
།		PUNCT
སྲིད་ཞི་	སྲིད་ཞི་	NOUN
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ཀུན་འཁོར་	ཀུན་འཁོར་	NO_POS
ལོ་ཆེན་པོ་	ལོ་ཆེན་པོ་	NOUN
ར་	ལ་	PART
སྡོམ་	སྡོམ་	NOUN
།		PUNCT
		
།		PUNCT
ཡུམ་སྲས་	ཡུམ་སྲས་	NOUN
དང་	དང་	NO_POS
བཅའ་	བཅའ་	VERB
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
གནས་	གནས་	NOUN
སུ་	ལ་	PART
གཤེགས་	གཤེགས་	VERB
།		PUNCT
		
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
དྲིལ་བུ་པ་	དྲིལ་བུ་པ་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
གནས་	གནས་	NOUN
